,lab
1583,GIA
1584,IGI
1585,GIA
1586,IGI
1587,IGI
1588,IGI
1589,IGI
1590,GIA
1591,GIA
1592,IGI
1593,IGI
1594,GIA
1595,GIA
1596,IGI
1597,GIA
1598,GIA
1599,IGI
1600,IGI
1601,IGI
1602,GIA
1603,GIA
1604,GIA
1605,GIA
1606,GIA
1607,GIA
1608,GIA
1609,GIA
1610,GIA
1611,GIA
1612,GIA
1613,GIA
1614,GIA
1615,GIA
1616,IGI
1617,IGI
1618,IGI
1619,IGI
1620,IGI
1621,GIA
1622,GIA
1623,GIA
1624,IGI
1625,IGI
1626,IGI
1627,GIA
1628,GIA
1629,GIA
1630,GIA
1631,GIA
1632,GIA
1633,GIA
1634,GIA
1635,GIA
1636,GIA
1637,GIA
1638,GIA
1639,GIA
1640,GIA
1641,GIA
1642,GIA
1643,GIA
1644,GIA
1645,GIA
1646,GIA
1647,GIA
1648,GIA
1649,GIA
1650,GIA
1651,GIA
1652,GIA
1653,GIA
1654,GIA
1655,GIA
1656,GIA
1657,GIA
1658,GIA
1659,GIA
1660,GIA
1661,GIA
1662,IGI
1663,IGI
1664,GIA
1665,GIA
1666,GIA
1667,GIA
1668,GIA
1669,GIA
1670,GIA
1671,GIA
1672,GIA
1673,GIA
1674,GIA
1675,GIA
1676,GIA
1677,GIA
1678,GIA
1679,GIA
1680,GIA
1681,GIA
1682,GIA
1683,GIA
1684,GIA
1685,GIA
1686,GIA
1687,GIA
1688,GIA
1689,GIA
1690,GIA
1691,GIA
1692,GIA
1693,GIA
1694,GIA
1695,GIA
1696,GIA
1697,GIA
1698,GIA
1699,GIA
1700,GIA
1701,GIA
1702,GIA
1703,GIA
1704,GIA
1705,GIA
1706,GIA
1707,GIA
1708,GIA
1709,GIA
1710,IGI
1711,IGI
1712,GIA
1713,GIA
1714,GIA
1715,GIA
1716,GIA
1717,GIA
1718,GIA
1719,GIA
1720,GIA
1721,GIA
1722,GIA
1723,GIA
1724,GIA
1725,GIA
1726,IGI
1727,IGI
1728,IGI
1729,IGI
1730,IGI
1731,IGI
1732,GIA
1733,GIA
1734,IGI
1735,IGI
1736,GIA
1737,IGI
1738,GIA
